Pack_Type,Rank,dimN,SimType,SVDMeth,Timing, MeanError, MaxError,Frobenius,Compres,ID
1,32,256,3,0,131.878,71.2954,457.214,170889,7,256032310
1,32,256,3,1,53.1531,8165.29,327067,1.42E+07,7,256032311
2,32,256,3,0,39.1827,8.81E-05,0.000366211,0.214335,7,256032320
2,32,256,3,1,21.7652,87.7632,7713.16,170676,7,256032321
0,32,256,4,0,93.9218,8.81E-05,0.000976562,0.286786,7,256032400
0,32,256,4,1,43.7691,6716.37,1.31E+06,1.42E+07,7,256032401
1,32,256,4,0,75.9934,74.6274,1444.47,185501,7,256032410
1,32,256,4,1,23.5292,9233.58,270913,1.42E+07,7,256032411
2,32,256,4,0,56.9666,0.00118706,0.119873,18.3772,7,256032420
2,32,256,4,1,21.9479,115.087,3198.45,183047,7,256032421
0,32,256,5,0,35.908,0,0,0,7,256032500
0,32,256,5,1,31.7938,13.8301,2357.02,32608.9,7,256032501
1,32,256,5,0,58.0222,2.37E-05,0.000152588,0.0566169,7,256032510
1,32,256,5,1,32.4573,21.2824,1575.35,33916,7,256032511
2,32,256,5,0,25.8197,1.38E-05,7.63E-05,0.0416153,7,256032520
2,32,256,5,1,25.5753,14.8353,1282.51,32602.9,7,256032521
0,32,512,0,0,171.558,360.017,1773.25,998308,15,512032000
0,32,512,0,1,49.1195,360.017,1773.25,998308,15,512032001
1,32,512,0,0,165.645,470.802,1736.36,987363,15,512032010
1,32,512,0,1,48.369,471.654,1714.47,987380,15,512032011
2,32,512,0,0,163.594,474.23,1696.35,987238,15,512032020
2,32,512,0,1,49.6837,474.222,1743.46,987255,15,512032021
0,32,512,1,0,174.339,366.781,1574.13,1.01E+06,15,512032100
0,32,512,1,1,49.174,366.781,1574.14,1.01E+06,15,512032101
1,32,512,1,0,163.984,482.254,1837.13,1.00E+06,15,512032110
1,32,512,1,1,49.5233,482.806,1824,1.00E+06,15,512032111
2,32,512,1,0,163.754,480.805,1676.88,999829,15,512032120
2,32,512,1,1,48.6728,481.265,1665.31,999845,15,512032121
0,32,512,2,0,21.2297,1.04E-05,0.00012207,0.0678486,15,512032200
0,32,512,2,1,42.5091,29.6982,12160.6,143575,15,512032201
1,32,512,2,0,69.6556,4.30E-05,0.000244141,0.120252,15,512032210
1,32,512,2,1,67.6955,55.5184,6279.16,147854,15,512032211
2,32,512,2,0,41.797,3.60E-05,0.000183105,0.117314,15,512032220
2,32,512,2,1,47.7564,32.5753,7714.67,147808,15,512032221
0,32,512,3,0,67.7233,4.48E-05,0.000244141,0.15079,15,512032300
0,32,512,3,1,44.5843,61.6754,10551.5,153823,15,512032301
1,32,512,3,0,117.541,0.000101326,0.000610352,0.254275,15,512032310
1,32,512,3,1,43.8318,10225.9,249668,1.42E+07,15,512032311
2,32,512,3,0,72.8055,6.82E-05,0.000366211,0.170308,15,512032320
2,32,512,3,1,45.5787,74.398,7710.24,157800,15,512032321
0,32,512,4,0,116.651,7.82E-05,0.000732422,0.257671,15,512032400
0,32,512,4,1,42.732,8184.53,317559,1.42E+07,15,512032401
1,32,512,4,0,164.318,2.27534,103.746,6436.6,15,512032410
1,32,512,4,1,46.0661,14308.6,219311,1.42E+07,15,512032411
2,32,512,4,0,119.836,0.000107731,0.000854492,0.264578,15,512032420
2,32,512,4,1,42.9362,118.719,5642.49,164470,15,512032421
0,32,512,5,0,50.7308,0,0,0,15,512032500
0,32,512,5,1,41.2603,18.5288,1794.9,32610.3,15,512032501
1,32,512,5,0,80.1863,2.30E-05,0.000152588,0.0553992,15,512032510
1,32,512,5,1,42.7234,29.7237,1632.17,34017.8,15,512032511
2,32,512,5,0,52.602,1.41E-05,7.63E-05,0.0389721,15,512032520
2,32,512,5,1,42.6057,19.7555,2096.04,32594.8,15,512032521
0,32,1024,0,0,571.204,365.398,1831.43,1.01E+06,25,1024032000
0,32,1024,0,1,112.948,365.397,1831.49,1.01E+06,25,1024032001
1,32,1024,0,0,541.115,486.136,1751.49,1.01E+06,25,1024032010
1,32,1024,0,1,111.146,489.933,1990.6,1.02E+06,25,1024032011
2,32,1024,0,0,550.379,485.16,1506.97,1.01E+06,25,1024032020
2,32,1024,0,1,108.449,488.727,1958.36,1.02E+06,25,1024032021
0,32,1024,1,0,574.93,373.36,1496.47,1.02E+06,25,1024032100
0,32,1024,1,1,110.685,373.361,1496.5,1.02E+06,25,1024032101
1,32,1024,1,0,545.648,494.896,1565.97,1.02E+06,25,1024032110
1,32,1024,1,1,109.962,498.592,1958.8,1.04E+06,25,1024032111
2,32,1024,1,0,546.751,492.931,1508.89,1.02E+06,25,1024032120
2,32,1024,1,1,108.69,501.946,2072.59,1.04E+06,25,1024032121
0,32,1024,2,0,46.4118,1.20E-05,0.00012207,0.0729912,25,1024032200
0,32,1024,2,1,94.5587,55.1923,11537.6,143579,25,1024032201
1,32,1024,2,0,136.284,4.55E-05,0.000366211,0.125611,25,1024032210
1,32,1024,2,1,140.249,81.324,8872.93,147825,25,1024032211
2,32,1024,2,0,108.776,8.65E-05,0.000366211,0.151306,25,1024032220
2,32,1024,2,1,97.8524,57.5513,14487.4,147863,25,1024032221
0,32,1024,3,0,144.949,4.30E-05,0.000244141,0.137587,25,1024032300
0,32,1024,3,1,98.4865,84.9356,10491.8,147847,25,1024032301
1,32,1024,3,0,290.358,8.64E-05,0.000488281,0.20074,25,1024032310
1,32,1024,3,1,97.2422,149.327,7220.73,164522,25,1024032311
2,32,1024,3,0,189.916,5.87E-05,0.000244141,0.155571,25,1024032320
2,32,1024,3,1,98.3795,91.4208,6874.11,149941,25,1024032321
0,32,1024,4,0,332.342,7.75E-05,0.000854492,0.249792,25,1024032400
0,32,1024,4,1,94.4287,107.951,6134.09,158050,25,1024032401
1,32,1024,4,0,407.313,0.00825728,0.114197,161.761,25,1024032410
1,32,1024,4,1,95.0129,189.791,1320.98,170547,25,1024032411
2,32,1024,4,0,364.201,0.00010501,0.000732422,0.269453,25,1024032420
2,32,1024,4,1,95.7367,132.272,6878.74,157863,25,1024032421
0,32,1024,5,0,150.195,0,0,0,25,1024032500
