Agent_Num,Pack_Type,Rank,dimM,dimN,Sim_Type,SVD Method,Spatial_Size,Timing, MeanError, MaxError,Frobenius,Total/Raw, Raw/Total
1048576,0,4,524288,8,4,0,2048,16.9299,217.974,1280.16,721160,1,1
1048576,0,4,524288,8,4,1,2048,10.4006,217.974,1280.16,721160,1,1
1048576,1,4,524288,8,4,0,2048,15.8651,298.143,1443.16,594574,1,1
1048576,1,4,524288,8,4,1,2048,10.9919,298.156,1441.61,594574,1,1
1048576,2,4,524288,8,4,0,2048,15.9377,272.197,1178.01,590203,1,1
1048576,2,4,524288,8,4,1,2048,12.7565,271.757,1174.25,590204,1,1
1048576,0,4,524288,8,5,0,2048,16.9304,0.177052,0.888947,635.869,1,1
1048576,0,4,524288,8,5,1,2048,10.805,0.195903,14.3359,659.708,1,1
1048576,1,4,524288,8,5,0,2048,24.328,3.57263,8.01807,7244.41,1,1
1048576,1,4,524288,8,5,1,2048,24.7287,3.54363,8.00589,7246.88,1,1
1048576,2,4,524288,8,5,0,2048,8.9839,0.0267632,0.0841675,86.1256,1,1
1048576,2,4,524288,8,5,1,2048,3.63546,0.0636441,12.3387,152.946,1,1
1048576,0,8,524288,8,0,0,2048,35.0419,5.13E-05,0.000610352,0.169286,0, inf
1048576,0,8,524288,8,0,1,2048,11.6279,0.000518657,0.208984,1.48722,0, inf
1048576,1,8,524288,8,0,0,2048,17.6263,4.69E-05,0.000488281,0.15545,0, inf
1048576,1,8,524288,8,0,1,2048,26.2655,0.290672,1.03186,707.232,0, inf
1048576,2,8,524288,8,0,0,2048,16.537,4.85E-05,0.000488281,0.159614,0, inf
1048576,2,8,524288,8,0,1,2048,11.064,0.287021,1.10101,706.921,0, inf
1048576,0,8,524288,8,1,0,2048,29.8841,5.12E-05,0.000610352,0.168319,0, inf
1048576,0,8,524288,8,1,1,2048,30.6407,0.000390129,0.164795,1.17791,0, inf
1048576,1,8,524288,8,1,0,2048,9.73226,4.28E-05,0.000488281,0.145554,0, inf
1048576,1,8,524288,8,1,1,2048,3.56445,0.28992,1.02405,706.506,0, inf
1048576,2,8,524288,8,1,0,2048,19.8927,4.63E-05,0.000488281,0.15527,0, inf
1048576,2,8,524288,8,1,1,2048,12.1973,0.288084,1.14953,706.987,0, inf
1048576,0,8,524288,8,2,0,2048,27.6724,0,0,0,0, inf
1048576,0,8,524288,8,2,1,2048,26.0677,0.0682931,249.807,707.449,0, inf
1048576,1,8,524288,8,2,0,2048,20.6488,0,0,0,0, inf
1048576,1,8,524288,8,2,1,2048,24.8631,0.182388,250.478,707.176,0, inf
1048576,2,8,524288,8,2,0,2048,16.9962,0,0,0,0, inf
1048576,2,8,524288,8,2,1,2048,11.2662,0.148925,250.716,706.792,0, inf
1048576,0,8,524288,8,3,0,2048,17.5885,4.83E-05,0.000366211,0.16081,0, inf
1048576,0,8,524288,8,3,1,2048,10.2443,0.00074561,1.10733,3.06969,0, inf
1048576,1,8,524288,8,3,0,2048,15.2947,4.21E-05,0.000366211,0.144797,0, inf
1048576,1,8,524288,8,3,1,2048,10.6911,0.28905,1.07849,706.565,0, inf
1048576,2,8,524288,8,3,0,2048,28.3644,4.40E-05,0.000366211,0.147718,0, inf
1048576,2,8,524288,8,3,1,2048,24.8286,0.28708,1.61023,706.815,0, inf
1048576,0,8,524288,8,4,0,2048,22.1351,5.26E-05,0.000610352,0.171621,0, inf
1048576,0,8,524288,8,4,1,2048,10.5555,0.000226065,0.162598,0.748008,0, inf
