Agent_Num,Pack_Type,Rank,dimM,dimN,Sim_Type,SVDMethod,Spatial_Size,y2, MeanError, z2,Frobenius,Total_Raw,x2
1048576,2,4,131072,32,5,1,2048,63.5415,11.2265000000,687.0910000000,13951.0000000000,7,62
1048576,2,8,65536,64,5,1,2048,11.8988,11.2596000000,2945.1300000000,18138.0000000000,7,63
1048576,2,16,32768,128,5,1,2048,67.0765,11.6853000000,2137.9400000000,23980.1000000000,7,64
1048576,0,16,32768,128,5,1,2048,16.9903,10.7046000000,1439.9300000000,23987.4000000000,7,65
1048576,1,16,32768,128,5,1,2048,44.178,20.5304000000,2253.2400000000,25436.6000000000,7,66
1048576,2,32,16384,256,5,1,2048,25.5753,14.8353000000,1282.5100000000,32602.9000000000,7,67
1048576,0,32,16384,256,5,1,2048,31.7938,13.8301000000,2357.0200000000,32608.9000000000,7,68
1048576,1,32,16384,256,5,1,2048,32.4573,21.2824000000,1575.3500000000,33916.0000000000,7,69
1048576,2,64,8192,512,5,1,2048,42.4983,22.4565000000,2979.5800000000,45128.6000000000,7,70
1048576,0,64,8192,512,5,1,2048,41.2664,19.8344000000,1887.1300000000,45140.0000000000,7,71
1048576,1,64,8192,512,5,1,2048,42.7602,27.0960000000,1975.5200000000,46166.9000000000,7,72
1048576,0,128,2048,2048,5,0,2048,657.821,0.0000000000,0.0000000000,0.0000000000,8,73
1048576,2,128,2048,2048,5,0,2048,460.69,0.0000119000,0.0000610000,0.0367201000,8,74
1048576,1,128,2048,2048,5,0,2048,1322.9,0.0000236000,0.0001525880,0.0564319000,8,75
1048576,2,128,2048,2048,5,1,2048,237.033,26.3645000000,2113.4500000000,63139.7000000000,8,76
1048576,0,128,2048,2048,5,1,2048,240.117,38.4186000000,3049.7300000000,63143.6000000000,8,77
1048576,1,128,2048,2048,5,1,2048,239.324,43.3088000000,2618.3700000000,63904.5000000000,8,78
1048576,0,64,4096,1024,5,0,2048,152.378,0.0000000000,0.0000000000,0.0000000000,12,79
1048576,2,64,4096,1024,5,0,2048,115.382,0.0000122000,0.0000610000,0.0389847000,12,80
1048576,1,64,4096,1024,5,0,2048,269.363,0.0000254000,0.0001525880,0.0592661000,12,81
1048576,0,64,4096,1024,5,1,2048,93.7293,25.7615000000,2040.7000000000,45142.7000000000,12,82
1048576,2,64,4096,1024,5,1,2048,94.7007,27.2114000000,1565.7600000000,45145.6000000000,12,83
1048576,1,64,4096,1024,5,1,2048,95.5673,33.8499000000,1702.4000000000,46255.3000000000,12,84
1048576,0,8,32768,128,5,0,2048,19.7178,0.0000000000,0.0000000000,0.0000000000,15,85
1048576,0,16,16384,256,5,0,2048,24.0988,0.0000000000,0.0000000000,0.0000000000,15,86
1048576,0,32,8192,512,5,0,2048,50.7308,0.0000000000,0.0000000000,0.0000000000,15,87
1048576,2,8,32768,128,5,0,2048,49.7737,0.0000132000,0.0000610000,0.0374877000,15,88
1048576,2,32,8192,512,5,0,2048,52.602,0.0000141000,0.0000763000,0.0389721000,15,89
1048576,2,16,16384,256,5,0,2048,27.4865,0.0000134000,0.0000763000,0.0416153000,15,90
1048576,1,32,8192,512,5,0,2048,80.1863,0.0000230000,0.0001525880,0.0553992000,15,91
1048576,1,16,16384,256,5,0,2048,72.0103,0.0000239000,0.0001525880,0.0566169000,15,92
1048576,2,4,65536,64,5,0,2048,14.4412,0.0000143000,0.0000916000,713.1860000000,15,93
1048576,0,4,65536,64,5,0,2048,28.2546,0.2152630000,0.9624020000,720.6830000000,15,94
1048576,0,4,65536,64,5,1,2048,41.7286,0.2724340000,3.9534300000,737.2370000000,15,95
1048576,1,8,32768,128,5,0,2048,69.3006,0.6369400000,1.9966400000,1447.9200000000,15,96
1048576,2,4,65536,64,5,1,2048,13.3921,16.0829000000,267.6170000000,14403.1000000000,15,97
1048576,2,8,32768,128,5,1,2048,63.0387,14.7966000000,1774.7400000000,18207.2000000000,15,98
1048576,0,8,32768,128,5,1,2048,16.3228,14.9659000000,1130.6600000000,18216.8000000000,15,99
1048576,1,8,32768,128,5,1,2048,43.3335,23.6258000000,421.3150000000,20116.5000000000,15,100
1048576,2,16,16384,256,5,1,2048,26.0764,15.2592000000,1242.7900000000,23997.3000000000,15,101
1048576,0,16,16384,256,5,1,2048,20.7797,15.3963000000,1985.2300000000,24005.4000000000,15,102
1048576,1,16,16384,256,5,1,2048,38.1179,29.1173000000,423.1720000000,25752.8000000000,15,103
1048576,2,32,8192,512,5,1,2048,42.6057,19.7555000000,2096.0400000000,32594.8000000000,15,104
1048576,0,32,8192,512,5,1,2048,41.2603,18.5288000000,1794.9000000000,32610.3000000000,15,105
1048576,1,4,65536,64,5,0,2048,130.122,15.5062000000,41.9371000000,33330.6000000000,15,106
1048576,1,4,65536,64,5,1,2048,91.9589,15.5253000000,41.9021000000,33331.0000000000,15,107
1048576,1,32,8192,512,5,1,2048,42.7234,29.7237000000,1632.1700000000,34017.8000000000,15,108
1048576,0,64,2048,2048,5,0,2048,655.643,0.0000000000,0.0000000000,0.0000000000,16,109
1048576,2,64,2048,2048,5,0,2048,455.773,0.0000119000,0.0000610000,0.0367201000,16,110
1048576,1,64,2048,2048,5,0,2048,1319.31,0.0000235000,0.0001525880,0.0564319000,16,111
1048576,2,64,2048,2048,5,1,2048,237.908,26.3446000000,2040.8300000000,45147.4000000000,16,112
1048576,0,64,2048,2048,5,1,2048,237.035,36.9614000000,3031.6100000000,45152.9000000000,16,113
1048576,1,64,2048,2048,5,1,2048,239.163,44.4991000000,2542.5400000000,46211.0000000000,16,114
1048576,0,32,4096,1024,5,0,2048,150.195,0.0000000000,0.0000000000,0.0000000000,25,115
1048576,2,32,4096,1024,5,0,2048,114.674,0.0000118000,0.0000610000,0.0389847000,25,116
1048576,1,32,4096,1024,5,0,2048,267.448,0.0000253000,0.0001525880,0.0592661000,25,117
1048576,0,32,4096,1024,5,1,2048,93.4791,26.2754000000,1868.8300000000,32614.4000000000,25,118
1048576,2,32,4096,1024,5,1,2048,93.9348,28.6799000000,1343.3400000000,32618.4000000000,25,119
1048576,1,32,4096,1024,5,1,2048,96.5658,43.0620000000,1713.1300000000,34137.8000000000,25,120
1048576,0,16,8192,512,5,0,2048,50.7532,0.0000000000,0.0000000000,0.0000000000,30,121
1048576,2,16,8192,512,5,0,2048,53.6575,0.0000142000,0.0000610000,0.0389721000,30,122
1048576,1,16,8192,512,5,0,2048,80.5058,0.0000232000,0.0001525880,0.0553992000,30,123
1048576,2,16,8192,512,5,1,2048,42.0607,20.4627000000,1979.0300000000,23986.1000000000,30,124
1048576,0,16,8192,512,5,1,2048,41.9298,19.9755000000,1470.6200000000,24006.8000000000,30,125
1048576,1,16,8192,512,5,1,2048,42.6414,41.2003000000,351.9410000000,25886.8000000000,30,126
1048576,0,8,16384,256,5,0,2048,37.934,0.0000000000,0.0000000000,0.0000000000,31,127
1048576,2,8,16384,256,5,0,2048,56.6104,0.0000130000,0.0000610000,0.0416153000,31,128
1048576,2,4,32768,128,5,0,2048,33.295,0.0000126000,0.0000610000,720.0270000000,31,129
1048576,0,4,32768,128,5,0,2048,18.1084,0.1771600000,0.9666440000,723.0410000000,31,130
1048576,1,8,16384,256,5,0,2048,59.8219,0.6622050000,2.0145600000,1448.0100000000,31,131
1048576,2,4,32768,128,5,1,2048,30.2472,22.2284000000,433.8100000000,14490.2000000000,31,132
1048576,0,4,32768,128,5,1,2048,15.4443,19.2031000000,289.2370000000,14502.7000000000,31,133
1048576,2,8,16384,256,5,1,2048,55.2606,19.4200000000,689.0590000000,18229.8000000000,31,134
1048576,0,8,16384,256,5,1,2048,43.2745,21.5219000000,1396.9300000000,18240.5000000000,31,135
1048576,1,8,16384,256,5,1,2048,32.816,32.6606000000,262.1440000000,20512.2000000000,31,136
1048576,1,4,32768,128,5,0,2048,51.8904,15.4307000000,41.6454000000,33376.0000000000,31,137
1048576,1,4,32768,128,5,1,2048,34.893,26.4985000000,340.4290000000,36694.8000000000,31,138
1048576,2,32,2048,2048,5,0,2048,456.509,0.0000122000,0.0000610000,0.0367195000,32,139
1048576,0,32,2048,2048,5,0,2048,655.382,0.0000111000,0.0000916000,0.0377423000,32,140
1048576,1,32,2048,2048,5,0,2048,1320.28,0.0000238000,0.0001525880,0.0564319000,32,141
1048576,2,32,2048,2048,5,1,2048,241.955,34.5137000000,1974.0200000000,32620.8000000000,32,142
1048576,0,32,2048,2048,5,1,2048,236.076,41.2501000000,2987.1900000000,32628.5000000000,32,143
1048576,1,32,2048,2048,5,1,2048,241.135,55.1547000000,2011.4000000000,34077.6000000000,32,144
1048576,0,16,4096,1024,5,0,2048,149.893,0.0000114000,0.0000916000,0.0387088000,51,145
1048576,2,16,4096,1024,5,0,2048,114.134,0.0000130000,0.0000610000,0.0389847000,51,146
1048576,1,16,4096,1024,5,0,2048,265.55,0.0000249000,0.0001525880,0.0592663000,51,147
1048576,0,16,4096,1024,5,1,2048,92.8732,27.9676000000,1703.2900000000,24012.8000000000,51,148
1048576,2,16,4096,1024,5,1,2048,94.2636,31.3634000000,1076.1400000000,24018.3000000000,51,149
1048576,1,16,4096,1024,5,1,2048,94.4485,57.9832000000,323.8550000000,26044.3000000000,51,150
1048576,0,8,8192,512,5,0,2048,49.6773,0.0000102000,0.0000916000,0.0380457000,60,151
1048576,2,8,8192,512,5,0,2048,52.8744,0.0000146000,0.0000610000,0.0389719000,60,152
1048576,1,8,8192,512,5,0,2048,121.312,0.6382790000,1.9946900000,1448.1000000000,60,153
